Date,MPRN,Meter Serial Number,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,00:00
14/04/2021,10306910999,32308387,0.44,0.16,0.30,0.07,0.08,0.10,0.07,0.08,0.09,0.06,0.08,0.09,0.06,0.10,0.04,0.04,0.61,0.01,0.00,0.03,0.00,0.00,0.01,0.00,0.00,0.00,0.70,0.55,0.06,0.00,0.01,0.03,0.12,0.10,0.12,0.18,0.18,0.24,0.22,0.20,0.19,0.18,0.16,0.17,0.16,0.17,0.16,0.17
15/04/2021,10306910999,32308387,0.12,0.17,0.17,0.07,0.10,0.09,0.07,0.07,0.11,0.07,0.07,0.08,0.12,0.08,0.01,0.00,0.04,0.00,0.01,0.02,0.00,0.00,0.02,0.46,0.07,0.06,0.23,0.14,0.02,0.05,0.02,0.05,0.06,0.08,0.09,0.17,0.14,0.17,0.19,0.19,0.22,0.16,0.17,0.17,0.19,0.19,0.16,0.20
16/04/2021,10306910999,32308387,0.15,0.14,0.16,0.18,0.13,0.10,0.11,0.08,0.09,0.11,0.08,0.10,0.11,0.05,0.03,0.03,0.02,0.00,0.03,0.00,0.00,0.00,0.01,0.01,0.06,0.09,0.14,0.69,0.16,0.08,0.38,0.28,0.11,0.17,0.13,0.12,0.15,0.32,0.16,0.19,0.22,0.22,0.21,0.16,0.16,0.16,0.20,0.17
17/04/2021,10306910999,32308387,0.10,0.12,0.08,0.08,0.12,0.09,0.08,0.10,0.10,0.08,0.09,0.12,0.04,0.00,0.00,0.00,0.03,0.08,0.00,0.01,0.00,0.00,0.01,0.00,0.03,0.00,0.00,0.62,0.05,0.46,0.10,0.12,0.50,0.21,0.14,0.15,0.17,0.12,0.17,0.34,0.32,0.27,1.19,0.50,0.22,0.17,0.13,0.19
18/04/2021,10306910999,32308387,0.09,0.09,0.12,0.08,0.08,0.12,0.08,0.08,0.15,0.11,0.08,0.11,0.10,0.07,0.07,0.08,0.12,0.07,0.06,0.03,0.01,0.03,0.05,0.09,0.13,0.14,0.21,0.50,0.35,0.21,0.17,0.71,0.64,0.16,0.22,0.19,0.27,0.34,0.22,0.20,1.11,0.73,0.19,0.21,0.20,0.19,0.24,0.13
19/04/2021,10306910999,32308387,0.12,0.13,0.10,0.08,0.11,0.10,0.08,0.12,0.12,0.08,0.08,0.12,0.07,0.06,0.05,0.05,0.04,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.02,0.00,0.00,0.02,0.00,0.32,0.45,0.16,0.12,0.37,0.23,0.17,0.47,0.27,0.13,0.21,0.10,0.16,0.12,0.14,0.14,0.16
20/04/2021,10306910999,32308387,0.17,0.15,0.08,0.08,0.10,0.08,0.10,0.13,0.07,0.07,0.08,0.10,0.08,0.12,0.12,0.12,0.48,0.06,0.11,0.21,0.09,0.00,0.00,0.01,0.03,0.08,0.06,0.02,0.01,0.02,0.01,0.12,0.13,0.15,0.21,0.18,0.56,0.23,0.99,0.25,0.15,0.15,0.12,0.14,0.12,0.16,0.15,0.14
21/04/2021,10306910999,32308387,0.13,0.11,0.09,0.13,0.15,0.08,0.08,0.10,0.07,0.07,0.11,0.07,0.08,0.17,0.11,0.07,0.04,0.12,0.10,0.10,0.18,0.07,0.06,0.06,0.00,0.01,0.01,0.00,0.00,0.00,0.05,0.05,0.04,0.09,0.14,0.11,0.15,0.36,0.42,0.46,0.23,0.13,0.47,0.17,0.16,0.22,0.16,0.13
22/04/2021,10306910999,32308387,0.10,0.10,0.07,0.09,0.11,0.07,0.07,0.11,0.07,0.06,0.10,0.10,0.06,0.08,0.37,0.32,0.03,0.04,0.03,0.02,0.01,0.03,0.00,0.00,0.15,0.01,0.01,0.00,0.00,0.00,0.01,0.02,0.06,0.14,0.13,0.19,0.23,0.24,0.32,0.21,0.16,0.13,0.30,1.19,0.57,0.20,0.11,0.15
23/04/2021,10306910999,32308387,0.15,0.14,0.18,0.14,0.08,0.08,0.12,0.09,0.08,0.10,0.11,0.07,0.02,0.59,0.01,0.00,0.26,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.10,0.12,0.11,0.20,0.20,0.24,0.31,0.26,0.27,0.25,0.36,0.17,0.17,0.14,0.11
24/04/2021,10306910999,32308387,0.17,0.18,0.08,0.10,0.12,0.07,0.08,0.11,0.07,0.07,0.11,0.08,0.05,0.02,0.00,0.00,0.02,0.01,0.01,0.04,0.00,0.84,0.27,0.12,0.18,0.07,0.01,0.00,0.00,0.00,0.00,0.01,0.08,0.09,0.15,0.21,0.18,0.55,0.28,0.28,0.49,0.18,0.13,0.13,0.09,0.15,0.15,0.13
25/04/2021,10306910999,32308387,0.14,0.16,0.10,0.10,0.10,0.07,0.08,0.11,0.07,0.07,0.10,0.08,0.02,0.00,0.01,0.04,0.07,0.03,0.00,0.04,0.67,0.04,0.03,0.03,0.02,0.49,0.01,1.22,1.65,0.30,0.14,0.14,0.20,0.20,0.16,0.20,0.19,0.17,0.80,0.98,0.61,0.11,0.09,0.13,0.12,0.14,0.11,0.14
26/04/2021,10306910999,32308387,0.19,0.12,0.08,0.08,0.08,0.08,0.09,0.07,0.10,0.07,0.10,0.06,0.03,0.03,0.00,0.04,0.01,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.14,0.00,0.40,0.67,0.03,0.03,0.33,0.12,0.18,0.08,0.15,0.13,0.14,0.19,0.82,0.80,0.27,0.20,0.11,0.16,0.13,0.11,0.12,0.18
27/04/2021,10306910999,32308387,0.12,0.12,0.07,0.07,0.11,0.08,0.07,0.09,0.09,0.07,0.07,0.11,0.07,0.11,1.24,0.21,0.16,0.50,0.33,0.17,0.09,0.11,0.09,0.09,0.06,0.03,0.07,0.07,0.02,0.00,0.03,0.04,0.06,0.07,0.14,0.14,0.11,0.36,0.14,0.17,0.67,0.74,0.23,0.12,0.13,0.17,0.10,0.10
28/04/2021,10306910999,32308387,0.15,0.13,0.09,0.12,0.07,0.07,0.11,0.07,0.07,0.10,0.09,0.07,0.08,0.16,0.10,0.17,0.16,0.23,0.62,0.21,0.16,0.46,0.18,0.11,0.06,0.11,0.09,0.08,0.10,0.09,0.05,0.05,0.10,0.06,0.10,0.19,0.18,0.17,0.23,0.21,0.35,0.21,0.16,0.11,0.14,0.18,0.13,0.13
29/04/2021,10306910999,32308387,0.18,0.17,0.10,0.13,0.10,0.08,0.10,0.12,0.08,0.08,0.11,0.10,0.07,0.15,0.34,0.11,0.04,0.05,0.07,0.08,0.07,0.02,0.00,0.00,0.02,0.03,0.03,0.47,0.00,0.01,0.34,0.09,0.10,0.13,0.15,0.20,0.18,0.19,0.21,0.17,0.15,0.23,0.19,0.14,0.18,0.21,0.17,0.15
30/04/2021,10306910999,32308387,0.14,0.17,0.15,0.10,0.11,0.08,0.07,0.08,0.11,0.07,0.07,0.09,0.09,0.11,0.05,0.07,0.45,0.21,0.21,0.17,0.11,0.06,0.12,0.11,0.00,0.01,0.02,0.04,0.02,0.02,0.01,0.48,0.09,0.17,0.43,0.26,0.17,0.89,0.44,0.20,0.17,0.22,0.20,0.18,0.19,0.14,0.17,0.12
01/05/2021,10306910999,32308387,0.14,0.15,0.12,0.14,0.13,0.14,0.10,0.08,0.07,0.10,0.07,0.07,0.09,0.09,0.10,0.16,0.11,0.06,0.11,0.00,0.00,0.33,0.20,0.04,0.13,0.16,0.51,0.27,0.01,0.07,0.26,0.03,1.12,0.65,0.20,0.19,1.12,0.51,0.15,0.18,0.20,0.38,1.12,0.46,0.20,0.20,0.16,0.14
02/05/2021,10306910999,32308387,0.14,0.11,0.13,0.17,0.17,0.08,0.11,0.09,0.08,0.11,0.09,0.07,0.02,0.01,0.02,0.01,0.09,0.00,0.01,0.12,0.11,0.14,1.20,0.58,0.94,0.31,0.29,0.13,0.14,0.15,0.06,0.08,1.08,0.56,0.05,0.14,0.15,0.25,1.03,0.58,0.19,0.15,0.22,0.15,0.28,0.21,0.14,0.11
03/05/2021,10306910999,32308387,0.16,0.13,0.13,0.12,0.07,0.08,0.11,0.07,0.07,0.11,0.07,0.07,0.10,0.12,0.10,0.15,0.13,0.16,0.15,0.17,0.16,0.50,0.16,0.25,1.18,0.28,0.67,0.07,0.02,0.46,0.04,0.06,0.51,0.15,0.18,0.12,0.14,0.31,1.26,0.28,0.19,0.18,0.12,0.13,0.19,0.19,0.15,0.16
04/05/2021,10306910999,32308387,0.11,0.18,0.13,0.08,0.08,0.10,0.13,0.09,0.09,0.08,0.10,0.09,0.02,0.03,0.00,0.04,0.01,0.03,0.01,0.04,0.06,0.06,0.27,0.25,0.03,0.40,0.49,0.68,0.10,0.04,0.06,0.15,0.19,0.18,0.10,0.12,0.12,0.23,0.16,0.19,0.37,1.23,0.69,0.35,0.93,0.27,0.20,0.11
05/05/2021,10306910999,32308387,0.22,0.13,0.30,0.16,0.06,0.07,0.08,0.11,0.07,0.07,0.07,0.05,0.02,0.07,0.04,0.00,0.01,0.01,0.00,0.01,0.02,0.09,0.00,0.01,0.05,0.03,0.02,0.00,0.07,0.08,0.16,0.17,0.09,0.13,0.17,0.19,0.12,0.19,0.29,0.31,0.17,0.18,0.14,0.17,0.34,0.12,0.11,0.39
06/05/2021,10306910999,32308387,0.15,0.14,0.12,0.10,0.11,0.13,0.09,0.08,0.08,0.08,0.12,0.06,0.00,0.04,0.24,0.02,0.06,0.41,0.01,0.01,0.20,0.13,0.02,0.02,0.01,0.04,0.02,0.04,0.04,0.03,0.05,0.01,0.11,0.09,0.13,0.17,0.18,0.70,0.71,0.20,0.18,1.18,0.57,0.10,0.10,0.14,0.19,0.13
07/05/2021,10306910999,32308387,0.14,0.15,0.19,0.17,0.10,0.09,0.09,0.11,0.12,0.07,0.07,0.06,0.05,0.05,0.01,0.04,0.00,0.01,0.00,0.00,0.00,0.00,0.07,0.02,0.03,0.03,0.06,0.03,0.01,0.00,0.00,0.06,0.61,0.12,0.15,0.42,0.29,0.19,0.19,0.29,0.26,0.26,0.19,0.16,0.15,0.11,0.09,0.13
